Time,Wave_Height
1.9,-6.71960894609174e-05
1.91,-6.95490860392559e-05
1.92,-7.19431974109117e-05
1.93,-7.43808197551969e-05
1.94,-7.68644341674324e-05
1.95,-7.9396605141343e-05
1.96,-8.19799788835644e-05
1.97,-8.46172814600463e-05
1.98,-8.73113167741805e-05
1.99,-9.00649643770164e-05
2,-9.28811771099549e-05
2.01,-9.5762978580732e-05
2.02,-9.8713460473674e-05
2.03,-0.00010173577969561
2.04,-0.000104833155358896
2.05,-0.00010800886560352
2.06,-0.00011126624426038
2.07,-0.000114608677358076
2.08,-0.000118039599475993
2.09,-0.000121562489946559
2.1,-0.000125180868909951
2.11,-0.000128898293224686
2.12,-0.000132718352237922
2.13,-0.000136644663419476
2.14,-0.000140680867863852
2.15,-0.000144830625664817
2.16,-0.00014909761116739
2.17,-0.000153485508102195
2.18,-0.00015799800460763
2.19,-0.000162638788145258
2.2,-0.000167411540314271
2.21,-0.000172319931571029
2.22,-0.000177367615859867
2.23,-0.000182558225161655
2.24,-0.000187895363966748
2.25,-0.000193382603679115
2.26,-0.000199023476958794
2.27,-0.000204821472009772
2.28,-0.000210780026820775
2.29,-0.000216902523366508
2.3,-0.000223192281776916
2.31,-0.000229652554482623
2.32,-0.000236286520344137
2.33,-0.000243097278773268
2.34,-0.000250087843854793
2.35,-0.000257261138476758
2.36,-0.000264619988477704
2.37,-0.000272167116819549
2.38,-0.000279905137794353
2.39,-0.000287836551273853
2.4,-0.000295963737010199
2.41,-0.000304288948996681
2.42,-0.000312814309897082
2.43,-0.000321541805552364
2.44,-0.000330473279573251
2.45,-0.000339610428027615
2.46,-0.000348954794230931
2.47,-0.000358507763648683
2.48,-0.000368270558918976
2.49,-0.000378244235003949
2.5,-0.000388429674478184
2.51,-0.000398827582962404
2.52,-0.000409438484710637
2.53,-0.00042026271835867
2.54,-0.000431300432841727
2.55,-0.00044255158348914
2.56,-0.000454015928303252
2.57,-0.000465693024430244
2.58,-0.00047758222482976
2.59,-0.000489682675150341
2.6,-0.000501993310817493
2.61,-0.00051451285434065
2.62,-0.000527239812845556
2.63,-0.00054017247583783
2.64,-0.000553308913203623
2.65,-0.000566646973452633
2.66,-0.000580184282208926
2.67,-0.000593918240954194
2.68,-0.000607846026028135
2.69,-0.000621964587890335
2.7,-0.000636270650647264
2.71,-0.000650760711848489
2.72,-0.000665431042555007
2.73,-0.000680277687682634
2.74,-0.000695296466623497
2.75,-0.00071048297414714
2.76,-0.000725832581583689
2.77,-0.000741340438290451
2.78,-0.000757001473402715
2.79,-0.00077281039787011
2.8,-0.000788761706778237
2.81,-0.000804849681956004
2.82,-0.00082106839486812
2.83,-0.00083741170979178
2.84,-0.000853873287276608
2.85,-0.000870446587886137
2.86,-0.000887124876218605
2.87,-0.000903901225205334
2.88,-0.000920768520683002
2.89,-0.000937719466237589
2.9,-0.000954746588315619
2.91,-0.000971842241599395
2.92,-0.000988998614641443
2.93,-0.00100620773575375
2.94,-0.00102346147914645
2.95,-0.00104075157131082
2.96,-0.00105806959764037
2.97,-0.00107540700928427
2.98,-0.00109275513022614
2.99,-0.00111010516458168
3,-0.00112744820410779
3.01,-0.00114477523591532
3.02,-0.00116207715037823
3.03,-0.00117934474923034
3.04,-0.0011965687538415
3.05,-0.00121373981366433
3.06,-0.0012308485148425
3.07,-0.00124788538897097
3.08,-0.0012648409219992
3.09,-0.00128170556326662
3.1,-0.00129846973466111
3.11,-0.00131512383988974
3.12,-0.00133165827385133
3.13,-0.00134806343210021
3.14,-0.00136432972039044
3.15,-0.00138044756428908
3.16,-0.00139640741884771
3.17,-0.00141219977832068
3.18,-0.00142781518591883
3.19,-0.00144324424358693
3.2,-0.00145847762179322
3.21,-0.00147350606931975
3.22,-0.0014883204230412
3.23,-0.00150291161768098
3.24,-0.0015172706955321
3.25,-0.00153138881613191
3.26,-0.00154525726587807
3.27,-0.00155886746757453
3.28,-0.00157221098989546
3.29,-0.00158527955675576
3.3,-0.00159806505657647
3.31,-0.00161055955143336
3.32,-0.00162275528607799
3.33,-0.00163464469681896
3.34,-0.00164622042025355
3.35,-0.00165747530183758
3.36,-0.0016684024042837
3.37,-0.00167899501577703
3.38,-0.00168924665799806
3.39,-0.00169915109394234
3.4,-0.00170870233552776
3.41,-0.00171789465097911
3.42,-0.00172672257198083
3.43,-0.00173518090058931
3.44,-0.00174326471589503
3.45,-0.00175096938042717
3.46,-0.00175829054629166
3.47,-0.00176522416103554
3.48,-0.00177176647322983
3.49,-0.00177791403776391
3.5,-0.00178366372084459
3.51,-0.00178901270469412
3.52,-0.00179395849194019
3.53,-0.00179849890969327
3.54,-0.00180263211330587
3.55,-0.0018063565898089
3.56,-0.0018096711610209
3.57,-0.00181257498632655
3.58,-0.00181506756512056
3.59,-0.00181714873891442
3.6,-0.00181881869310329
3.61,-0.00182007795839096
3.62,-0.00182092741187126
3.63,-0.001821368277765
3.64,-0.00182140212781123
3.65,-0.00182103088131314
3.66,-0.00182025680483861
3.67,-0.00181908251157595
3.68,-0.00181751096034636
3.69,-0.00181554545427411
3.7,-0.00181318963911739
3.71,-0.00181044750126153
3.72,-0.00180732336537803
3.73,-0.00180382189175268
3.74,-0.00179994807328659
3.75,-0.00179570723217478
3.76,-0.00179110501626641
3.77,-0.00178614739511244
3.78,-0.00178084065570589
3.79,-0.0017751913979209
3.8,-0.0017692065296567
3.81,-0.00176289326169363
3.82,-0.00175625910226784
3.83,-0.00174931185137266
3.84,-0.00174205959479402
3.85,-0.00173451069788847
3.86,-0.00172667379911207
3.87,-0.00171855780330915
3.88,-0.00171017187476979
3.89,-0.0017015254300657
3.9,-0.00169262813067408
3.91,-0.00168348987539911
3.92,-0.00167412079260188
3.93,-0.0016645312322483
3.94,-0.00165473175778621
3.95,-0.00164473313786219
3.96,-0.00163454633788917
3.97,-0.00162418251147547
3.98,-0.00161365299172728
3.99,-0.001602969282435
4,-0.00159214304915573
4.01,-0.00158118611020271
4.02,-0.00157011042755367
4.03,-0.00155892809768964
4.04,-0.00154765134237572
4.05,-0.0015362924993954
4.06,-0.00152486401325042
4.07,-0.00151337842583699
4.08,-0.00150184836711074
4.09,-0.00149028654575106
4.1,-0.00147870573983668
4.11,-0.00146711878754342
4.12,-0.00145553857787529
4.13,-0.00144397804143983
4.14,-0.00143245014127846
4.15,-0.00142096786376235
4.16,-0.00140954420956427
4.17,-0.00139819218471633
4.18,-0.00138692479176375
4.19,-0.00137575502102414
4.2,-0.00136469584196147
4.21,-0.00135376019468423
4.22,-0.00134296098157603
4.23,-0.00133231105906725
4.24,-0.00132182322955602
4.25,-0.00131151023348587
4.26,-0.0013013847415877
4.27,-0.00129145934729289
4.28,-0.00128174655932425
4.29,-0.00127225879447096
4.3,-0.00126300837055315
4.31,-0.00125400749958164
4.32,-0.00124526828111775
4.33,-0.00123680269583746
4.34,-0.00122862259930413
4.35,-0.00122073971595334
4.36,-0.00121316563329283
4.37,-0.00120591179632022
4.38,-0.00119898950216086
4.39,-0.00119240989492709
4.4,-0.00118618396080058
4.41,-0.00118032252333809
4.42,-0.00117483623900107
4.43,-0.00116973559290891
4.44,-0.00116503089481491
4.45,-0.00116073227530396
4.46,-0.00115684968220999
4.47,-0.00115339287725145
4.48,-0.00115037143288161
4.49,-0.00114779472935103
4.5,-0.00114567195197848
4.51,-0.00114401208862606
4.52,-0.00114282392737458
4.53,-0.00114211605439364
4.54,-0.00114189685200157
4.55,-0.00114217449690924
4.56,-0.00114295695864157
4.57,-0.00114425199813023
4.58,-0.00114606716647068
4.59,-0.00114840980383596
4.6,-0.00115128703853981
4.61,-0.00115470578624099
4.62,-0.00115867274928048
4.63,-0.00116319441614293
4.64,-0.00116827706103339
4.65,-0.00117392674356021
4.66,-0.00118014930851444
4.67,-0.00118695038573629
4.68,-0.00119433539005852
4.69,-0.00120230952131675
4.7,-0.00121087776441659
4.71,-0.00122004488944663
4.72,-0.00122981545182738
4.73,-0.00124019379248507
4.74,-0.00125118403803962
4.75,-0.00126279010099609
4.76,-0.00127501567992866
4.77,-0.00128786425964627
4.78,-0.00130133911132906
4.79,-0.00131544329262497
4.8,-0.00133017964769527
4.81,-0.00134555080719892
4.82,-0.0013615591882047
4.83,-0.00137820699402102
4.84,-0.0013954962139328
4.85,-0.00141342862283555
4.86,-0.00143200578075669
4.87,-0.00145122903225432
4.88,-0.00147109950568422
4.89,-0.00149161811232573
4.9,-0.0015127855453578
4.91,-0.00153460227867673
4.92,-0.0015570685655473
4.93,-0.0015801844370795
4.94,-0.00160394970052368
4.95,-0.00162836393737687
4.96,-0.00165342650129381
4.97,-0.00167913651579673
4.98,-0.00170549287177804
4.99,-0.00173249422479096
5,-0.00176013899212345
5.01,-0.00178842534965146
5.02,-0.0018173512284678
5.03,-0.00184691431128383
5.04,-0.00187711202860164
5.05,-0.00190794155465486
5.06,-0.00193939980311682
5.07,-0.0019714834225761
5.08,-0.00200418879177877
5.09,-0.00203751201463881
5.1,-0.00207144891501768
5.11,-0.00210599503127546
5.12,-0.00214114561059596
5.13,-0.00217689560308973
5.14,-0.0022132396556787
5.15,-0.00225017210576751
5.16,-0.00228768697470704
5.17,-0.00232577796105644
5.18,-0.00236443843365041
5.19,-0.00240366142447961
5.2,-0.00244343962139248
5.21,-0.00248376536062725
5.22,-0.00252463061918454
5.23,-0.00256602700705021
5.24,-0.00260794575927998
5.25,-0.00265037772795771
5.26,-0.00269331337403947
5.27,-0.00273674275909669
5.28,-0.00278065553697221
5.29,-0.0028250409453635
5.3,-0.00286988779734808
5.31,-0.00291518447286662
5.32,-0.00296091891018033
5.33,-0.00300707859731882
5.34,-0.00305365056353619
5.35,-0.00310062137079311
5.36,-0.00314797710528274
5.37,-0.00319570336902047
5.38,-0.00324378527151516
5.39,-0.00329220742154319
5.4,-0.00334095391904448
5.41,-0.00339000834716121
